"REF_DATE","GEO","DGUID","Age group","Type of institution attended","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995/1996","New Brunswick","2021A000213","20 to 24 years","University","Percent","239","units","0","v99915499","5.2.4","27","B","","","0"
"1995/1996","New Brunswick","2021A000213","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915500","5.3.1","38","B","","","0"
"1995/1996","New Brunswick","2021A000213","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915501","5.3.2","","x","","","0"
"1995/1996","New Brunswick","2021A000213","25 to 29 years","College","Percent","239","units","0","v99915502","5.3.3","","x","","","0"
"1995/1996","New Brunswick","2021A000213","25 to 29 years","University","Percent","239","units","0","v99915503","5.3.4","49","C","","","0"
"1995/1996","Quebec","2021A000224","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915504","6.1.1","27","A","","","0"
"1995/1996","Quebec","2021A000224","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915505","6.1.2","19","B","","","0"
"1995/1996","Quebec","2021A000224","15 to 19 years","College","Percent","239","units","0","v99915506","6.1.3","39","B","","","0"
"1995/1996","Quebec","2021A000224","15 to 19 years","University","Percent","239","units","0","v99915507","6.1.4","47","B","","","0"
"1995/1996","Quebec","2021A000224","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915508","6.2.1","43","A","","","0"
"1995/1996","Quebec","2021A000224","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915509","6.2.2","36","C","","","0"
"1995/1996","Quebec","2021A000224","20 to 24 years","College","Percent","239","units","0","v99915510","6.2.3","48","B","","","0"
"1995/1996","Quebec","2021A000224","20 to 24 years","University","Percent","239","units","0","v99915511","6.2.4","43","B","","","0"
"1995/1996","Quebec","2021A000224","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915512","6.3.1","56","B","","","0"
"1995/1996","Quebec","2021A000224","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915513","6.3.2","","x","","","0"
"1995/1996","Quebec","2021A000224","25 to 29 years","College","Percent","239","units","0","v99915514","6.3.3","55","B","","","0"
"1995/1996","Quebec","2021A000224","25 to 29 years","University","Percent","239","units","0","v99915515","6.3.4","66","B","","","0"
"1995/1996","Ontario","2021A000235","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915516","7.1.1","35","A","","","0"
"1995/1996","Ontario","2021A000235","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915517","7.1.2","34","A","","","0"
"1995/1996","Ontario","2021A000235","15 to 19 years","College","Percent","239","units","0","v99915518","7.1.3","49","B","","","0"
"1995/1996","Ontario","2021A000235","15 to 19 years","University","Percent","239","units","0","v99915519","7.1.4","30","B","","","0"
"1995/1996","Ontario","2021A000235","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915520","7.2.1","46","A","","","0"
"1995/1996","Ontario","2021A000235","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915521","7.2.2","32","B","","","0"
"1995/1996","Ontario","2021A000235","20 to 24 years","College","Percent","239","units","0","v99915522","7.2.3","53","A","","","0"
"1995/1996","Ontario","2021A000235","20 to 24 years","University","Percent","239","units","0","v99915523","7.2.4","44","A","","","0"
"1995/1996","Ontario","2021A000235","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915524","7.3.1","52","A","","","0"
"1995/1996","Ontario","2021A000235","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915525","7.3.2","34","D","","","0"
"1995/1996","Ontario","2021A000235","25 to 29 years","College","Percent","239","units","0","v99915526","7.3.3","50","B","","","0"
"1995/1996","Ontario","2021A000235","25 to 29 years","University","Percent","239","units","0","v99915527","7.3.4","59","B","","","0"
"1995/1996","Manitoba","2021A000246","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915528","8.1.1","41","A","","","0"
"1995/1996","Manitoba","2021A000246","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915529","8.1.2","38","A","","","0"
"1995/1996","Manitoba","2021A000246","15 to 19 years","College","Percent","239","units","0","v99915530","8.1.3","51","C","","","0"
"1995/1996","Manitoba","2021A000246","15 to 19 years","University","Percent","239","units","0","v99915531","8.1.4","59","B","","","0"
"1995/1996","Manitoba","2021A000246","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915532","8.2.1","54","B","","","0"
"1995/1996","Manitoba","2021A000246","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915533","8.2.2","","x","","","0"
"1995/1996","Manitoba","2021A000246","20 to 24 years","College","Percent","239","units","0","v99915534","8.2.3","54","B","","","0"
"1995/1996","Manitoba","2021A000246","20 to 24 years","University","Percent","239","units","0","v99915535","8.2.4","57","B","","","0"
"1995/1996","Manitoba","2021A000246","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915536","8.3.1","59","B","","","0"
"1995/1996","Manitoba","2021A000246","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915537","8.3.2","","x","","","0"
"1995/1996","Manitoba","2021A000246","25 to 29 years","College","Percent","239","units","0","v99915538","8.3.3","56","B","","","0"
"1995/1996","Manitoba","2021A000246","25 to 29 years","University","Percent","239","units","0","v99915539","8.3.4","59","B","","","0"
"1995/1996","Saskatchewan","2021A000247","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915540","9.1.1","35","A","","","0"
"1995/1996","Saskatchewan","2021A000247","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915541","9.1.2","36","A","","","0"
"1995/1996","Saskatchewan","2021A000247","15 to 19 years","College","Percent","239","units","0","v99915542","9.1.3","","x","","","0"
"1995/1996","Saskatchewan","2021A000247","15 to 19 years","University","Percent","239","units","0","v99915543","9.1.4","36","B","","","0"
"1995/1996","Saskatchewan","2021A000247","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915544","9.2.1","36","B","","","0"
"1995/1996","Saskatchewan","2021A000247","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915545","9.2.2","","x","","","0"
"1995/1996","Saskatchewan","2021A000247","20 to 24 years","College","Percent","239","units","0","v99915546","9.2.3","30","C","","","0"
"1995/1996","Saskatchewan","2021A000247","20 to 24 years","University","Percent","239","units","0","v99915547","9.2.4","41","B","","","0"
"1995/1996","Saskatchewan","2021A000247","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915548","9.3.1","43","B","","","0"
"1995/1996","Saskatchewan","2021A000247","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915549","9.3.2","","..","","","0"
"1995/1996","Saskatchewan","2021A000247","25 to 29 years","College","Percent","239","units","0","v99915550","9.3.3","","x","","","0"
"1995/1996","Saskatchewan","2021A000247","25 to 29 years","University","Percent","239","units","0","v99915551","9.3.4","53","B","","","0"
"1995/1996","Alberta","2021A000248","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915552","10.1.1","41","A","","","0"
"1995/1996","Alberta","2021A000248","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915553","10.1.2","39","A","","","0"
"1995/1996","Alberta","2021A000248","15 to 19 years","College","Percent","239","units","0","v99915554","10.1.3","48","B","","","0"
